,BukkenName,Price,Address,Space,Type,Belanda,Build,Line,Station,Walk,DaysAgo,City,Street,Number,Latitude,Longitude
2020,マリンシティダイヤモンドパレス,3699,東京都港区海岸３,39.5,1LDK,6.7,1980-03-01,ＪＲ山手線,田町,13,15932,東京都,港区,海岸３,35.6399584,139.7600967
2021,マンション市谷台,3699,東京都新宿区市谷台町,51.21,2LDK,4.0,1970-03-01,都営新宿線,曙橋,5,19585,東京都,新宿区,市谷台町,35.6937326,139.718903
2022,ビューハイツ日本橋,3699,東京都中央区日本橋蛎殻町１,42.66,1LDK,1.95,1973-05-01,東京メトロ半蔵門線,水天宮前,2,18428,東京都,中央区,日本橋蛎殻町１,35.6821547,139.7837401
2023,秀和日本橋箱崎レジデンス,3699,東京都中央区日本橋箱崎町32-3,36.0,1LDK,4.32,1981-07-01,東京メトロ半蔵門線,水天宮前,1,15445,東京都,中央区,日本橋箱崎町32-3,35.6810316,139.7872954
2024,中落合東豊エステート　～Nakaochiai Toh…,3699,東京都新宿区中落合２,68.14,3LDK,9.72,1971-08-01,西武新宿線,中井,7,19067,東京都,新宿区,中落合２,35.7195012,139.6924137
2025,マリンシティダイアモンドパレス,3699,東京都港区海岸３,39.5,1LDK,6.7,1980-03-01,ＪＲ山手線,田町,13,15932,東京都,港区,海岸３,35.6399584,139.7600967
2026,日興パレス高田馬場,3699,東京都新宿区上落合１,45.65,2LDK,,1981-08-01,東京メトロ東西線,落合,8,15414,東京都,新宿区,上落合１,35.7126216,139.6924137
2027,■□■ 渋谷藤和コープ ■□■ ～駅徒歩1分・渋谷7…,3699,東京都渋谷区円山町,34.56,1LDK,3.51,1971-10-01,京王井の頭線,神泉,1,19006,東京都,渋谷区,円山町,35.6566135,139.6943282
2028,鹿鳴館ハイツ原宿,3700,東京都渋谷区神宮前２,46.5,1LDK,3.28,1968-11-01,東京メトロ千代田線,明治神宮前,9,20070,東京都,渋谷区,神宮前２,35.6736057,139.7109231
2029,リビオレゾン千代田岩本町ルジェンテ,3700,東京都千代田区岩本町２,25.03,ワンルーム,3.58,2020-05-01,都営新宿線,岩本町,4,1261,東京都,千代田区,岩本町２,35.6933689,139.777349
2030,鹿鳴館ハイツ原宿,3700,東京都渋谷区神宮前２,36.42,1LDK,3.28,1968-09-01,ＪＲ山手線,原宿,11,20131,東京都,渋谷区,神宮前２,35.6736057,139.7109231
2031,中銀八丁堀マンシオン,3750,東京都中央区八丁堀４,44.97,2DK,4.76,1978-04-01,東京メトロ日比谷線,八丁堀,1,16632,東京都,中央区,八丁堀４,35.6742515,139.7765502
2032,朝日新大久保マンション,3760,東京都新宿区百人町１-3-12,41.4,2DK,7.04,1977-01-01,ＪＲ山手線,新大久保,3,17087,東京都,新宿区,百人町,35.7006321,139.7021264
2033,朝日新大久保マンション,3760,東京都新宿区百人町１,41.4,2DK,4.85,1977-01-01,ＪＲ山手線,新大久保,3,17087,東京都,新宿区,百人町１,35.6999622,139.6994338
2034,朝日新大久保マンション,3760,東京都新宿区百人町１-3-12,41.4,2DK,4.85,1977-01-01,ＪＲ山手線,新大久保,3,17087,東京都,新宿区,百人町,35.7006321,139.7021264
2035,朝日新大久保マンション,3760,東京都新宿区百人町１,41.4,2DK,4.85,1977-01-01,ＪＲ山手線,新大久保,3,17087,東京都,新宿区,百人町１,35.6999622,139.6994338
2036,ライオンズマンション白金第３,3780,東京都港区白金３-11-17,36.0,1DK,,1983-02-01,東京メトロ南北線,白金高輪,6,14865,東京都,港区,白金,35.6447403,139.7298772
2037,クレール三田,3780,東京都港区三田４-1-32,39.31,1LDK,5.5,1978-10-01,都営三田線,三田,9,16449,東京都,港区,三田,35.64705480000001,139.7406571
